QueryId,DocumentId
221,clueweb12-0105wb-94-18038
221,clueweb12-1612wb-49-05819
221,clueweb12-1608wb-97-11722
221,clueweb12-0404wb-23-16154
221,clueweb12-0312wb-32-11106
221,clueweb12-0712wb-52-04892
221,clueweb12-0302wb-97-27366
221,clueweb12-1411wb-88-04746
221,clueweb12-0506wb-81-28986
221,clueweb12-1900wb-77-11088
221,clueweb12-0910wb-30-28507
221,clueweb12-0916wb-41-17324
221,clueweb12-1717wb-34-09808
221,clueweb12-0916wb-42-21666
221,clueweb12-1910wb-42-26631
221,clueweb12-0920wb-00-03365
221,clueweb12-1500wb-27-23371
221,clueweb12-1911wb-59-19026
223,clueweb12-1912wb-55-28701
223,clueweb12-1513wb-95-06237
223,clueweb12-0009wb-99-15795
223,clueweb12-0901wb-71-23169
223,clueweb12-0408wb-65-30956
223,clueweb12-1607wb-46-17456
223,clueweb12-0307wb-04-05534
223,clueweb12-0010wb-33-29411
223,clueweb12-1416wb-06-07063
223,clueweb12-1408wb-03-03665
223,clueweb12-0111wb-27-13116
223,clueweb12-1611wb-51-31661
223,clueweb12-1005wb-98-08776
223,clueweb12-1315wb-20-17108
223,clueweb12-1300wb-97-06884
204,clueweb12-0110wb-31-04282
204,clueweb12-0008wb-76-36441
204,clueweb12-1013wb-47-01116
204,clueweb12-1207wb-30-12502
204,clueweb12-0203wb-99-28669
204,clueweb12-1408wb-45-21107
204,clueweb12-0103wb-16-10147
204,clueweb12-1211wb-04-16657
204,clueweb12-0504wb-78-28164
204,clueweb12-0510wb-29-13476
217,clueweb12-1700tw-16-18413
217,clueweb12-0008wb-95-01875
217,clueweb12-0105wb-49-19559
217,clueweb12-1109wb-22-12271
217,clueweb12-0908wb-18-00527
217,clueweb12-1808wb-25-20823
217,clueweb12-1504wb-32-29380
217,clueweb12-0904wb-79-09943
217,clueweb12-1800tw-22-17647
217,clueweb12-0311wb-94-31401
217,clueweb12-0013wb-83-01135
217,clueweb12-0206wb-34-31841
249,clueweb12-1101wb-86-18736
249,clueweb12-1008wb-41-03826
249,clueweb12-0010wb-15-17219
249,clueweb12-1409wb-20-22252
249,clueweb12-0201wb-89-33614
249,clueweb12-1206wb-89-01086
249,clueweb12-0101wb-72-28583
249,clueweb12-1212wb-59-16658
249,clueweb12-1007wb-90-08004
248,clueweb12-0305wb-60-27587
248,clueweb12-0106wb-15-20461
248,clueweb12-1012wb-00-03996
248,clueweb12-1108wb-01-20671
248,clueweb12-0110wb-90-15461
248,clueweb12-0900wb-94-08989
248,clueweb12-0303wb-52-32189
248,clueweb12-0605wb-40-09716
248,clueweb12-0105wb-47-29772
248,clueweb12-0901tw-03-10922
248,clueweb12-0503wb-00-32720
248,clueweb12-0001wb-32-35223
208,clueweb12-1611wb-58-24738
208,clueweb12-1011wb-62-00443
208,clueweb12-0508wb-95-14510
208,clueweb12-1800wb-03-24678
208,clueweb12-0608wb-51-18276
208,clueweb12-1908wb-77-16099
208,clueweb12-0812wb-75-08957
208,clueweb12-1007wb-89-08055
208,clueweb12-0206wb-59-19406
208,clueweb12-1314wb-39-03091
208,clueweb12-0302wb-77-00238
208,clueweb12-0003wb-50-16116
208,clueweb12-1010wb-39-19873
228,clueweb12-1504wb-24-11584
228,clueweb12-0009wb-89-29513
228,clueweb12-0010wb-31-03486
228,clueweb12-0811wb-94-14858
228,clueweb12-0406wb-13-21710
228,clueweb12-1803wb-92-11599
228,clueweb12-0001wb-07-32281
228,clueweb12-0403wb-85-22334
228,clueweb12-1008wb-38-24422
228,clueweb12-0001wb-59-18585
228,clueweb12-0005wb-77-23221
228,clueweb12-0906wb-65-22267
228,clueweb12-0103wb-62-27319
228,clueweb12-0212wb-18-26618
228,clueweb12-0209wb-36-08542
228,clueweb12-0102wb-32-22593
228,clueweb12-0808wb-58-20647
228,clueweb12-0100wb-57-04188
228,clueweb12-0000wb-03-19493
228,clueweb12-1810wb-03-04000
203,clueweb12-0004wb-27-24898
203,clueweb12-1206wb-05-03868
203,clueweb12-0205wb-45-25113
203,clueweb12-0211wb-68-23918
203,clueweb12-1503wb-29-00397
203,clueweb12-1616wb-24-00943
203,clueweb12-0112wb-10-19455
203,clueweb12-1503wb-37-03938
203,clueweb12-1408wb-35-19339
203,clueweb12-1409wb-35-18029
203,clueweb12-1301wb-50-04494
203,clueweb12-1205wb-29-13782
227,clueweb12-0011wb-37-19347
227,clueweb12-0506wb-77-11987
227,clueweb12-0506wb-07-08695
227,clueweb12-0610wb-74-19886
227,clueweb12-0801wb-43-09211
227,clueweb12-0503wb-78-10706
227,clueweb12-1603wb-29-19232
227,clueweb12-1609wb-61-08043
227,clueweb12-0102wb-74-16656
227,clueweb12-0917wb-83-19114
227,clueweb12-0608wb-80-03387
227,clueweb12-1610wb-62-07519
227,clueweb12-1217wb-53-11113
227,clueweb12-1502wb-66-05985
227,clueweb12-1910wb-69-25447
227,clueweb12-0404wb-40-03789
227,clueweb12-0915wb-68-03684
244,clueweb12-0312wb-00-16666
244,clueweb12-0813wb-59-24332
244,clueweb12-0208wb-29-18643
244,clueweb12-0208wb-90-25399
244,clueweb12-1715wb-67-16941
244,clueweb12-0207wb-96-13172
244,clueweb12-0004wb-37-15358
244,clueweb12-0212wb-27-15301
244,clueweb12-0905wb-54-17366
244,clueweb12-0004wb-80-31143
244,clueweb12-0102wb-26-03534
244,clueweb12-1608wb-80-00441
244,clueweb12-0311wb-98-17203
244,clueweb12-1503wb-27-03626
244,clueweb12-0011wb-41-22618
244,clueweb12-1114wb-92-06567
231,clueweb12-0406wb-83-11862
231,clueweb12-0201wb-27-00559
231,clueweb12-1306wb-03-06967
231,clueweb12-0103wb-67-11793
231,clueweb12-1213wb-40-03187
231,clueweb12-0905wb-16-15836
231,clueweb12-0209wb-14-18721
231,clueweb12-1713wb-81-16473
231,clueweb12-0403wb-21-15354
231,clueweb12-0111wb-78-08531
231,clueweb12-1300tw-25-16656
231,clueweb12-1003wb-99-15753
231,clueweb12-0007wb-35-14716
231,clueweb12-1016wb-36-12173
231,clueweb12-1805wb-98-28124
231,clueweb12-0900wb-37-07392
231,clueweb12-0100wb-76-17863
238,clueweb12-0904wb-51-29131
238,clueweb12-1812wb-10-12128
238,clueweb12-1907wb-99-12997
238,clueweb12-0400wb-08-29180
238,clueweb12-1909wb-68-14746
238,clueweb12-1104wb-67-03243
238,clueweb12-0407wb-76-04303
238,clueweb12-0111wb-03-06706
238,clueweb12-0410wb-45-06058
225,clueweb12-1710wb-67-04031
225,clueweb12-0914wb-16-05770
225,clueweb12-1006wb-60-28042
225,clueweb12-1614wb-40-10218
225,clueweb12-1001wb-48-23446
225,clueweb12-0106wb-35-05683
225,clueweb12-0205wb-68-09252
225,clueweb12-1716wb-20-14251
225,clueweb12-1811wb-47-13243
225,clueweb12-0204wb-68-24822
225,clueweb12-0611wb-36-23425
225,clueweb12-1019wb-28-11045
225,clueweb12-1014wb-99-21519
225,clueweb12-1111wb-46-07878
225,clueweb12-1015wb-54-07401
225,clueweb12-1107wb-58-19417
225,clueweb12-0816wb-29-23120
245,clueweb12-0008wb-14-17740
245,clueweb12-1910wb-20-25918
245,clueweb12-0401wb-33-18881
245,clueweb12-0008wb-02-09332
245,clueweb12-0100wb-19-13997
245,clueweb12-0917wb-39-11519
245,clueweb12-0810wb-42-05792
245,clueweb12-0610wb-86-15611
245,clueweb12-1715wb-15-13133
245,clueweb12-1300wb-83-15079
